beer_id,beer_name,beer_style,beer_abv,brewery_name,brewery_id
3558,Sierra Nevada Summerfest Lager,Czech Pilsener,5,Sierra Nevada Brewing Co.,140
3635,La Terrible,Belgian Strong Dark Ale,10.5,Unibroue,22
3711,Censored,American Amber / Red Ale,6.75,Lagunitas Brewing Company,220
3734,Michelob Ultra,Light Lager,4.2,Anheuser-Busch,29
3824,Monty Python's Holy Grail Ale,English Pale Ale,4.7,Black Sheep Brewery PLC,1417
3833,AleSmith Speedway Stout,American Double / Imperial Stout,12,AleSmith Brewing Company,396
3842,Trappistes Rochefort 6,Belgian Strong Dark Ale,7.5,Brasserie de Rochefort,207
3916,AleSmith IPA,American IPA,7.25,AleSmith Brewing Company,396
3951,ApriHop,American IPA,7,Dogfish Head Brewery,10099
3968,India Pale Ale,English India Pale Ale (IPA),5.9,Goose Island Beer Co.,1549
4073,Founders Pale Ale,American Pale Ale (APA),5.4,Founders Brewing Company,1199
4083,Stone Ruination IPA,American Double / Imperial IPA,7.7,Stone Brewing Co.,147
4108,Tröegs Sunshine Pils,German Pilsener,5.3,Tröegs Brewing Company,694
4109,Troegenator Double Bock,Doppelbock,8.2,Tröegs Brewing Company,694
4318,Matilda,Belgian Strong Pale Ale,7,Goose Island Beer Co.,1549
4394,Smuttynose Big A IPA (Big Beer Series),American Double / Imperial IPA,9.6,Smuttynose Brewing Company,141
4694,Baltika #6 Porter,Baltic Porter,7,Baltika Breweries,401
4970,White Hawk Original IPA,American IPA,7,Mendocino Brewing Company,200
5057,Fantôme Saison,Saison / Farmhouse Ale,8,Brasserie Fantôme,738
5385,Dark Horse Crooked Tree IPA,American IPA,6,Dark Horse Brewing Company,1471
5428,New Holland Dragon's Milk Oak Barrel Ale,American Stout,10,New Holland Brewing Company,335
5441,Founders Centennial IPA,American IPA,7.2,Founders Brewing Company,1199
5488,Wells Banana Bread Beer,Fruit / Vegetable Beer,5.2,Wells & Young's Ltd,664
5653,Double Barrel Ale,English Pale Ale,5,Firestone Walker Brewing Co.,2210
5753,Fire Rock Pale Ale,American Pale Ale (APA),5.8,Kona Brewing Co.,579
5948,Terrapin Rye Pale Ale,American Pale Ale (APA),5.3,Terrapin Beer Company,2372
6073,Merry Monks' Ale,Tripel,9.3,Weyerbacher Brewing Co.,392
6076,Flower Power India Pale Ale,American IPA,7.5,Ithaca Beer Company,651
6104,Lindemans Gueuze Cuvée René,Gueuze,5,Brouwerij Lindemans,187
6108,60 Minute IPA,American IPA,6,Dogfish Head Brewery,10099
6260,Punkin Ale,Pumpkin Ale,7,Dogfish Head Brewery,10099
6301,Stone Levitation Ale,American Amber / Red Ale,4.4,Stone Brewing Co.,147
6322,Tröegs Hopback Amber Ale,American Amber / Red Ale,6,Tröegs Brewing Company,694
6368,Masala Mama India Pale Ale,American IPA,5.9,Minneapolis Town Hall Brewery,1177
6518,Dale's Pale Ale,American Pale Ale (APA),6.5,Oskar Blues Grill & Brew,2681
6533,Olde School Barleywine,American Barleywine,15.04,Dogfish Head Brewery,10099
6549,Northern Hemisphere Harvest Wet Hop Ale,American IPA,6.7,Sierra Nevada Brewing Co.,140
6590,Hazed & Infused,American Pale Ale (APA),4.85,Boulder Beer / Wilderness Pub,130
6715,Budweiser Budvar,Czech Pilsener,5,Brewery Budweiser Budvar / B.B.N.P.,304
6947,Cuvée Van De Keizer Blauw (Blue),Belgian Strong Dark Ale,11,Brouwerij Het Anker,1534
7284,YuleSmith (Summer),American Double / Imperial IPA,8.5,AleSmith Brewing Company,396
7348,Founders Porter,American Porter,6.5,Founders Brewing Company,1199
7438,Alpha Klaus Christmas (Xmas) Porter,American Porter,6,Three Floyds Brewing Co. & Brewpub,26
7463,Founders Dirty Bastard,Scotch Ale / Wee Heavy,8.5,Founders Brewing Company,1199
7520,Dark Lord Imperial Stout,Russian Imperial Stout,15,Three Floyds Brewing Co. & Brewpub,26
7531,Tröegs Mad Elf,Belgian Strong Dark Ale,11,Tröegs Brewing Company,694
7597,Pure Hoppiness,American Double / Imperial IPA,8,Alpine Beer Company,3120
7850,The Czar,Russian Imperial Stout,11.03,Avery Brewing Company,30
7879,St. Bernardus Witbier,Witbier,5.5,Brouwerij St. Bernardus NV,259
7971,Pliny The Elder,American Double / Imperial IPA,8,Russian River Brewing Company,863
8023,Siberian Night Imperial Stout,Russian Imperial Stout,9.7,Thirsty Dog Brewing Company,12516
8297,Samuel Adams White Ale,Witbier,5.2,Boston Beer Company (Samuel Adams),35
8322,New Holland The Poet,Oatmeal Stout,5.2,New Holland Brewing Company,335
8682,Bell's Winter White Ale,Witbier,5,"Bell's Brewery, Inc.",287
8919,G'Knight Imperial Red Ale,American Double / Imperial IPA,8.7,Oskar Blues Grill & Brew,2681
8951,Oaked Arrogant Bastard Ale,American Strong Ale,7.2,Stone Brewing Co.,147
8998,V-Twelve,Quadrupel (Quad),12,Victory Brewing Company,345
9086,120 Minute IPA,American Double / Imperial IPA,18,Dogfish Head Brewery,10099
9088,IPA (India Pale Ale),American IPA,7.3,Southern Tier Brewing Company,3818
9171,Pangaea,Belgian Strong Pale Ale,7,Dogfish Head Brewery,10099
9474,Temptation,American Wild Ale,7.25,Russian River Brewing Company,863
9478,Gumballhead,American Pale Wheat Ale,4.5,Three Floyds Brewing Co. & Brewpub,26
9689,White Rascal,Witbier,5.6,Avery Brewing Company,30
9755,Double White Ale,Witbier,6.7,Southampton Publick House,1628
9873,Hi.P.A.,American IPA,6.7,Magic Hat Brewing Company,96
10071,Sapporo Premium Beer,Japanese Rice Lager,5,Sapporo Breweries Ltd.,284
10325,Péché Mortel (Imperial Stout Au Cafe),American Double / Imperial Stout,9.5,Brasserie Dieu Du Ciel,1141
10482,Monk's Café Flemish Sour Ale,Flanders Oud Bruin,5.5,Brouwerij Van Steenberge N.V.,48
10672,Bourbon County Brand Stout,American Double / Imperial Stout,14.5,Goose Island Beer Co.,1549
11582,Kulmbacher Reichelbrau Eisbock,Eisbock,9.2,Kulmbacher Brauerei AG,412
11757,Founders Breakfast Stout,American Double / Imperial Stout,8.3,Founders Brewing Company,1199
11819,Smuttynose Pumpkin Ale,Pumpkin Ale,6,Smuttynose Brewing Company,141
11922,Titan IPA,American IPA,7.1,Great Divide Brewing Company,158
12013,Yeti Imperial Stout,Russian Imperial Stout,9.5,Great Divide Brewing Company,158
12104,Tröegs Dead Reckoning Porter,American Porter,5.4,Tröegs Brewing Company,694
12322,Mojo IPA,American IPA,7.2,Boulder Beer / Wilderness Pub,130
12770,Damnation,Belgian Strong Pale Ale,7.75,Russian River Brewing Company,863
14309,Samuel Adams Chocolate Bock,Bock,5.8,Boston Beer Company (Samuel Adams),35
14712,Old Chub - Scottish Style Ale,Scotch Ale / Wee Heavy,8,Oskar Blues Grill & Brew,2681
14916,Hop Wallop,American Double / Imperial IPA,8.5,Victory Brewing Company,345
15216,Samuel Adams Hefeweizen,American Pale Wheat Ale,5.4,Boston Beer Company (Samuel Adams),35
15589,Thomas Hooker Liberator Doppelbock,Doppelbock,8,Thomas Hooker Brewing Company,696
15619,The Beast Grand Cru,Belgian Strong Dark Ale,16.83,Avery Brewing Company,30
15813,Great Lakes Blackout Stout,Russian Imperial Stout,9,Great Lakes Brewing Company,73
15881,Tröegs Nugget Nectar,American Amber / Red Ale,7.5,Tröegs Brewing Company,694
16074,Founders Red's Rye PA,Rye Beer,6.6,Founders Brewing Company,1199
16403,"Smuttynose IPA ""Finest Kind""",American IPA,6.9,Smuttynose Brewing Company,141
16471,Heavy Seas - Small Craft Warning (Über Pils),American Double / Imperial Pilsner,7.25,Heavy Seas Beer,898
16506,Ommegang Witte,Witbier,5.1,Brewery Ommegang,42
16807,Pere Jacques,Dubbel,8,Goose Island Beer Co.,1549
16858,Thomas Hardy's Ale (2003-2008),Old Ale,11.9,O'Hanlon's Brewing Co. Ltd.,1533
16909,Allagash Curieux (Bourbon Barrel-Aged Tripel),Tripel,11,Allagash Brewing Company,4
17060,Hercules Double IPA,American Double / Imperial IPA,10,Great Divide Brewing Company,158
17112,Bell's Hopslam Ale,American Double / Imperial IPA,10,"Bell's Brewery, Inc.",287
17141,312 Urban Wheat,American Pale Wheat Ale,4.2,Goose Island Beer Co.,1549
17538,Founders Devil Dancer,American Double / Imperial IPA,12,Founders Brewing Company,1199
18198,Heresy,Russian Imperial Stout,8,Weyerbacher Brewing Co.,392
18199,Insanity,English Barleywine,11.1,Weyerbacher Brewing Co.,392
18305,DreamWeaver Wheat,Hefeweizen,4.8,Tröegs Brewing Company,694
18721,Cascazilla,American Amber / Red Ale,7,Ithaca Beer Company,651
18862,Burton Baton,American Double / Imperial IPA,10,Dogfish Head Brewery,10099
18975,Oro De Calabaza,Bière de Garde,8,Jolly Pumpkin Artisan Ales,9897
19216,Oak Aged Yeti Imperial Stout,Russian Imperial Stout,9.5,Great Divide Brewing Company,158
19314,La Roja,American Wild Ale,7.2,Jolly Pumpkin Artisan Ales,9897
19425,The Kaiser,Märzen / Oktoberfest,10.03,Avery Brewing Company,30
19426,Fuller's Vintage Ale,Old Ale,8.5,Fuller Smith & Turner PLC,71
19589,Lagunitas PILS (Czech Style Pilsner),Czech Pilsener,6.2,Lagunitas Brewing Company,220
19667,Heavy Seas - Peg Leg (Imperial Stout),Russian Imperial Stout,8,Heavy Seas Beer,898
19960,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,11.2,Founders Brewing Company,1199
20168,Hoptical Illusion,American IPA,6.8,Blue Point Brewing Company,764
20216,Duck-Rabbit Milk Stout,Milk / Sweet Stout,5.7,The Duck-Rabbit Craft Brewery,9790
20232,Terrapin Big Hoppy Monster,American Amber / Red Ale,8.3,Terrapin Beer Company,2372
20445,Cappuccino Stout,American Double / Imperial Stout,8.8,Lagunitas Brewing Company,220
20470,Stoudt's Double IPA (India Pale Ale),American Double / Imperial IPA,10,Stoudts Brewing Co.,394
20478,Founders Harvest Ale,American IPA,6.5,Founders Brewing Company,1199
20536,Phin & Matt's Extraordinary Ale,American Pale Ale (APA),5.4,Southern Tier Brewing Company,3818
20539,Stoudt's Fat Dog (Imperial Oatmeal Stout),American Double / Imperial Stout,9,Stoudts Brewing Co.,394
20564,Samuel Adams Holiday Porter,American Porter,5.8,Boston Beer Company (Samuel Adams),35
20604,Hell Hath No Fury Ale,Belgian Strong Dark Ale,7.7,"Bell's Brewery, Inc.",287
20781,21st Amendment IPA,American IPA,7,21st Amendment Brewery,735
20931,Old Ruffian Barley Wine,American Barleywine,10.2,Great Divide Brewing Company,158
21100,Oat (Imperial Oatmeal Stout),American Double / Imperial Stout,11,Southern Tier Brewing Company,3818
21300,Samuel Adams Black Lager,Schwarzbier,4.9,Boston Beer Company (Samuel Adams),35
21690,Pliny The Younger,American Double / Imperial IPA,11,Russian River Brewing Company,863
21822,Founders Imperial Stout,Russian Imperial Stout,10.5,Founders Brewing Company,1199
21950,Terrapin Coffee Oatmeal Imperial Stout,American Double / Imperial Stout,8.1,Terrapin Beer Company,2372
22227,Supplication,American Wild Ale,7,Russian River Brewing Company,863
22352,Maharaja,American Double / Imperial IPA,10.3,Avery Brewing Company,30
22381,Dark Horse Double Crooked Tree IPA,American Double / Imperial IPA,13.6,Dark Horse Brewing Company,1471
22505,Green Flash West Coast I.P.A.,American IPA,7.3,Green Flash Brewing Co.,2743
22527,471 IPA,American Double / Imperial IPA,9.2,Breckenridge Brewery,2137
22790,Blind Pig IPA,American IPA,6.1,Russian River Brewing Company,863
24071,Gonzo Imperial Porter,Baltic Porter,9.2,Flying Dog Brewery,68
24905,Founders Curmudgeon (Old Ale),Old Ale,9.8,Founders Brewing Company,1199
25259,Hopsickle Imperial India Pale Ale,American Double / Imperial IPA,9.2,Moylan's Brewery,870
25755,Heavy Seas - Loose Cannon (Hop3 Ale),American IPA,7.25,Heavy Seas Beer,898
25880,Imperial Pumpkin Ale,Pumpkin Ale,8,Weyerbacher Brewing Co.,392
26072,Noire De Chambly / Chambly Noire,Belgian Dark Ale,6.2,Unibroue,22
26159,Urthel Hop-It,Belgian IPA,9.5,De Leyerth Brouwerijen (Urthel),1339
26233,Fresh Hop Pale Ale,American Pale Ale (APA),6.1,Great Divide Brewing Company,158
26542,2° Below Winter Ale,Extra Special / Strong Bitter (ESB),6.6,New Belgium Brewing,192
27354,Winter's Bourbon Cask Ale,Winter Warmer,6,Anheuser-Busch,29
27514,Samuel Adams Brown Ale,English Brown Ale,5.35,Boston Beer Company (Samuel Adams),35
27800,Vanilla Porter,American Porter,4.7,Breckenridge Brewery,2137
27804,Houblon Chouffe Dobbelen IPA Tripel,Belgian IPA,9,Brasserie d'Achouffe,321
28165,Bender,American Brown Ale,5.1,Surly Brewing Company,13014
28176,Bam Bière,Saison / Farmhouse Ale,4.5,Jolly Pumpkin Artisan Ales,9897
28203,Furious,American IPA,6.2,Surly Brewing Company,13014
28204,Mephistopheles' Stout,American Double / Imperial Stout,16.8,Avery Brewing Company,30
28536,Circus Boy,American Pale Wheat Ale,4.4,Magic Hat Brewing Company,96
28577,Unearthly (Imperial India Pale Ale),American Double / Imperial IPA,9.5,Southern Tier Brewing Company,3818
28578,Jahva (Imperial Coffee Stout),American Double / Imperial Stout,10.4,Southern Tier Brewing Company,3818
28877,Beer Geek Breakfast,American Double / Imperial Stout,7.5,Mikkeller ApS,13307
29015,Leinenkugel's Sunset Wheat,Witbier,4.9,Jacob Leinenkugel Brewing Company,710
29209,Inversion IPA,American IPA,6.8,Deschutes Brewery,63
29602,Smithwick's,Irish Red Ale,4.5,Guinness Ltd.,209
29619,Sculpin India Pale Ale,American IPA,7,Ballast Point Brewing Company,199
30282,Brother Thelonious,Belgian Strong Dark Ale,9.4,North Coast Brewing Co.,112
30288,Double Simcoe IPA,American Double / Imperial IPA,9,Weyerbacher Brewing Co.,392
30420,Sierra Nevada Torpedo Extra IPA,American IPA,7.2,Sierra Nevada Brewing Co.,140
30502,Cane & Ebel,Rye Beer,7,Two Brothers Brewing Company,689
30538,Mothership Wit (Organic Wheat Beer),Witbier,4.8,New Belgium Brewing,192
30764,Coffee Bender,American Brown Ale,5.1,Surly Brewing Company,13014
30845,CynicAle,Saison / Farmhouse Ale,6.7,Surly Brewing Company,13014
30970,He'Brew Bittersweet Lenny's R.I.P.A.,American Double / Imperial IPA,10,Shmaltz Brewing Company,262
31323,Hop 15,American Double / Imperial IPA,10,Port Brewing Company / Pizza Port,5318
31613,Old Viscosity,American Double / Imperial Stout,10,Port Brewing Company / Pizza Port,5318
32413,The Angel's Share - Bourbon Barrel-Aged,American Strong Ale,12.5,The Lost Abbey,18149
32435,Red & White,Witbier,10,Dogfish Head Brewery,10099
33127,Darkness,Russian Imperial Stout,10.3,Surly Brewing Company,13014
33183,Pipeline Porter,American Porter,5.4,Kona Brewing Co.,579
33243,Wipeout I.P.A.,American IPA,7,Port Brewing Company / Pizza Port,5318
33644,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,Russian Imperial Stout,9.4,Hoppin' Frog Brewery,14879
33832,Palo Santo Marron,American Brown Ale,12,Dogfish Head Brewery,10099
34085,Green Flash Imperial India Pale Ale,American Double / Imperial IPA,9.4,Green Flash Brewing Co.,2743
34094,Older Viscosity,American Double / Imperial Stout,12,Port Brewing Company / Pizza Port,5318
34146,Founders Double Trouble,American Double / Imperial IPA,9.4,Founders Brewing Company,1199
34306,Pannepot,Quadrupel (Quad),10,De Struise Brouwers,15237
34420,The Abyss,American Double / Imperial Stout,11,Deschutes Brewery,63
34483,Ten FIDY,Russian Imperial Stout,10.5,Oskar Blues Grill & Brew,2681
34688,Long Hammer IPA,American IPA,6.5,Redhook Ale Brewery,18134
34877,Collaboration Not Litigation Ale,Belgian Strong Dark Ale,8.72,Avery Brewing Company,30
35036,Founders Backwoods Bastard,Scotch Ale / Wee Heavy,10.2,Founders Brewing Company,1199
35328,Brooklyn Local 1,Belgian Strong Pale Ale,9,Brooklyn Brewery,45
35397,Lagunitas Lucky 13 Mondo Large Red Ale,American Amber / Red Ale,8.9,Lagunitas Brewing Company,220
35625,Weihenstephaner Vitus,Weizenbock,7.7,Bayerische Staatsbrauerei Weihenstephan,252
35720,Festina Pêche,Berliner Weissbier,4.5,Dogfish Head Brewery,10099
35732,Green Flash Hop Head Red Ale,American Amber / Red Ale,7,Green Flash Brewing Co.,2743
35738,Hop Stoopid,American Double / Imperial IPA,8,Lagunitas Brewing Company,220
35754,Double Dog Double Pale Ale,American Double / Imperial IPA,11.5,Flying Dog Brewery,68
36727,Green Flash Le Freak,Belgian IPA,9.2,Green Flash Brewing Co.,2743
37477,Sierra Nevada Anniversary Ale (2007-2009),American IPA,5.9,Sierra Nevada Brewing Co.,140
37774,Schneider-Brooklyner Hopfen-Weisse,Weizenbock,8.2,Weisses Bräuhaus G. Schneider & Sohn GmbH,72
38180,Union Jack India Pale Ale,American IPA,7.5,Firestone Walker Brewing Co.,2210
38334,Black Albert,Russian Imperial Stout,13,De Struise Brouwers,15237
38365,Samuel Adams Irish Red,Irish Red Ale,5.8,Boston Beer Company (Samuel Adams),35
38394,Pumking,Pumpkin Ale,8.6,Southern Tier Brewing Company,3818
38470,Stone Sublimely Self-Righteous Ale,American Black Ale,8.7,Stone Brewing Co.,147
38591,Samuel Adams Hallertau Imperial Pilsner,American Double / Imperial Pilsner,8.1,Boston Beer Company (Samuel Adams),35
38818,Chocolate Indulgence Stout,Belgian Dark Ale,7,Brewery Ommegang,42
39639,Double Wide I.P.A.,American Double / Imperial IPA,8.5,Boulevard Brewing Co.,423
39908,Shock Top Belgian White,Witbier,5.2,Anheuser-Busch,29
40057,Gemini (Imperial Blended Ale),American Strong Ale,10.5,Southern Tier Brewing Company,3818
40058,Choklat,American Double / Imperial Stout,11,Southern Tier Brewing Company,3818
40149,Brooklyn Black OPS,Russian Imperial Stout,10.7,Brooklyn Brewery,45
40443,Baltic Thunder,Baltic Porter,8.5,Victory Brewing Company,345
40492,Sierra Nevada ESB (Early Spring Beer),Extra Special / Strong Bitter (ESB),5.9,Sierra Nevada Brewing Co.,140
41702,Theobroma,Chile Beer,9,Dogfish Head Brewery,10099
41815,Parabola,Russian Imperial Stout,12.5,Firestone Walker Brewing Co.,2210
42533,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,American IPA,6.7,Sierra Nevada Brewing Co.,140
42723,Espresso Oak Aged Yeti Imperial Stout,American Double / Imperial Stout,9.5,Great Divide Brewing Company,158
43118,Budweiser American Ale,American Amber / Red Ale,5.3,Anheuser-Busch,29
43491,Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,American Double / Imperial Stout,9.2,Stone Brewing Co.,147
43687,Creme Brulee (Imperial Milk Stout),American Double / Imperial Stout,9.6,Southern Tier Brewing Company,3818
43905,Stone Cali-Belgique,Belgian IPA,6.9,Stone Brewing Co.,147
43969,Yellow Snow IPA,American IPA,6.2,Rogue Ales,132
44755,Harpoon Leviathan - Imperial IPA,American Double / Imperial IPA,10,Harpoon Brewery,10097
45073,Plead The 5th Imperial Stout,Russian Imperial Stout,12,Dark Horse Brewing Company,1471
45653,Consecration,American Wild Ale,10,Russian River Brewing Company,863
46070,Back In Black,American Black Ale,6.8,21st Amendment Brewery,735
46290,Jack D'or,Saison / Farmhouse Ale,6.4,Pretty Things Beer & Ale Project,18371
46363,Jai Alai IPA,American IPA,7.5,Cigar City Brewing,17981
46385,Yakima Glory,American Black Ale,8.7,Victory Brewing Company,345
46849,Abrasive Ale,American Double / Imperial IPA,9,Surly Brewing Company,13014
46987,Beer Geek Brunch Weasel,American Double / Imperial Stout,10.9,Mikkeller ApS,13307
47228,Iniquity (Imperial Black Ale),American Black Ale,9,Southern Tier Brewing Company,3818
47317,Samuel Adams Imperial White,Witbier,10.3,Boston Beer Company (Samuel Adams),35
47360,Samuel Adams Imperial Stout,Russian Imperial Stout,9.2,Boston Beer Company (Samuel Adams),35
47364,Samuel Adams Blackberry Witbier,Witbier,5.5,Boston Beer Company (Samuel Adams),35
47434,Hop Henge Experimental IPA,American Double / Imperial IPA,9,Deschutes Brewery,63
47658,Founders CBS Imperial Stout,American Double / Imperial Stout,10.6,Founders Brewing Company,1199
47692,Night Stalker,American Double / Imperial Stout,11.7,Goose Island Beer Co.,1549
47785,Samuel Adams Double Bock (Imperial Series),Doppelbock,9.5,Boston Beer Company (Samuel Adams),35
48050,Young's Oatmeal Stout,Oatmeal Stout,5.2,Wells & Young's Ltd,664
48139,Mama's Little Yella Pils,Czech Pilsener,5.3,Oskar Blues Grill & Brew,2681
48243,Modus Hoperandi,American IPA,6.8,Ska Brewing Co.,923
48434,Sierra Nevada Kellerweis Hefeweizen,Hefeweizen,4.8,Sierra Nevada Brewing Co.,140
48505,Victory At Sea Coffee Vanilla Imperial Porter,American Porter,10,Ballast Point Brewing Company,199
48824,Sofie,Saison / Farmhouse Ale,6.5,Goose Island Beer Co.,1549
49286,Mokah,American Double / Imperial Stout,11.2,Southern Tier Brewing Company,3818
49789,A Little Sumpin' Sumpin' Ale,American Pale Wheat Ale,7.5,Lagunitas Brewing Company,220
49838,Squall IPA,American Double / Imperial IPA,9,Dogfish Head Brewery,10099
50176,Chocolate Oak Aged Yeti,American Double / Imperial Stout,9.5,Great Divide Brewing Company,158
50697,Double Jack,American Double / Imperial IPA,9.5,Firestone Walker Brewing Co.,2210
50795,Stone 13th Anniversary Ale,American Strong Ale,9.5,Stone Brewing Co.,147
52128,Tröegs Java Head Stout,Oatmeal Stout,7.5,Tröegs Brewing Company,694
52361,The Oracle,American Double / Imperial IPA,10,"Bell's Brewery, Inc.",287
52855,Raging Bitch Belgian-Style IPA,Belgian IPA,8.3,Flying Dog Brewery,68
53886,Terrapin Hopsecutioner,American IPA,7.3,Terrapin Beer Company,2372
54089,Life & Limb,American Strong Ale,10.2,Sierra Nevada Brewing Co.,140
54904,Samuel Adams Noble Pils,Czech Pilsener,4.9,Boston Beer Company (Samuel Adams),35
55081,Ranger,American IPA,6.5,New Belgium Brewing,192
55243,Sierra Nevada Glissade Golden Bock,Maibock / Helles Bock,6.4,Sierra Nevada Brewing Co.,140
55412,GUBNA Imperial IPA,American Double / Imperial IPA,10,Oskar Blues Grill & Brew,2681
55939,Hoptimum Double IPA - Beer Camp #19,American Double / Imperial IPA,10.4,Sierra Nevada Brewing Co.,140
56613,Wilco Tango Foxtrot,American Strong Ale,7.83,Lagunitas Brewing Company,220
56761,30th Anniversary - Fritz And Ken's Ale,American Double / Imperial Stout,9.2,Sierra Nevada Brewing Co.,140
56973,Shakespeare Oatmeal Stout,Oatmeal Stout,6.1,Rogue Ales,132
57252,Samuel Adams Latitude 48 IPA,American IPA,6,Boston Beer Company (Samuel Adams),35
57908,2XIPA,American Double / Imperial IPA,8.2,Southern Tier Brewing Company,3818
57912,A Little Sumpin' Wild,Belgian IPA,9.4,Lagunitas Brewing Company,220
59151,Miles Davis' Bitches Brew,Russian Imperial Stout,9,Dogfish Head Brewery,10099
59369,Stone 14th Anniversary Emperial IPA,American Double / Imperial IPA,8.9,Stone Brewing Co.,147
60420,Sierra Nevada Tumbler Autumn Brown Ale,American Brown Ale,5.5,Sierra Nevada Brewing Co.,140
62645,Lukcy 13asartd Ale,American Strong Ale,8.5,Stone Brewing Co.,147
72138,Stone 15th Anniversary Escondidian Imperial Black IPA,American Black Ale,10.8,Stone Brewing Co.,147
